Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n400-d20-1.col;27;25;20.78(187/9);20.60(206/10);26;25;21.00(126/6);20.83(125/6);25;25;20.80(104/5);20.83(125/6);23;23;20.17(121/6);20.50(82/4)
random-n400-d20-10.col;28;26;21.00(231/11);20.29(284/14);26;25;20.50(205/10);20.43(143/7);26;25;21.00(126/6);20.27(304/15);23;23;20.22(182/9);19.93(299/15)
random-n400-d20-2.col;28;26;20.91(230/11);20.88(167/8);26;25;21.00(147/7);20.86(146/7);26;26;21.00(126/6);20.83(125/6);23;23;20.00(320/16);20.00(240/12)
random-n400-d20-3.col;27;25;20.78(187/9);21.00(126/6);26;25;20.75(166/8);20.14(282/14);26;25;21.00(105/5);21.00(105/5);24;24;20.75(83/4);20.60(103/5)
random-n400-d20-4.col;27;26;20.88(167/8);20.83(125/6);26;25;21.00(126/6);21.00(126/6);27;25;21.75(87/4);20.62(165/8);22;22;20.75(83/4);22.00(22/1)
random-n400-d20-5.col;27;25;20.88(167/8);20.58(247/12);25;25;20.83(125/6);20.50(164/8);26;25;20.75(166/8);20.71(145/7);23;23;20.25(162/8);20.00(180/9)
random-n400-d20-6.col;29;26;20.82(229/11);20.80(208/10);26;25;20.64(227/11);21.00(105/5);26;25;20.57(144/7);20.27(304/15);22;22;20.60(103/5);20.25(81/4)
random-n400-d20-7.col;28;26;20.89(188/9);21.00(126/6);26;25;20.83(125/6);20.16(383/19);25;24;20.83(125/6);20.42(245/12);22;22;21.00(42/2);20.67(62/3)
random-n400-d20-8.col;27;26;20.89(188/9);20.60(206/10);26;25;20.50(205/10);20.14(443/22);26;26;20.50(164/8);20.62(165/8);23;23;20.22(182/9);20.50(82/4)
random-n400-d20-9.col;27;26;20.88(167/8);20.86(146/7);26;25;20.67(186/9);20.75(166/8);25;24;20.50(164/8);20.50(164/8);23;23;20.60(103/5);20.75(83/4)
