Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n300-d20-1.col;23;21;17.00(102/6);16.60(166/10);21;20;17.00(85/5);16.21(227/14);21;21;16.83(101/6);16.88(135/8);18;18;17.00(51/3);16.40(82/5)
random-n300-d20-10.col;22;21;16.75(134/8);16.56(149/9);20;19;17.67(53/3);16.57(116/7);21;20;17.00(85/5);17.00(85/5);19;19;16.14(113/7);16.11(145/9)
random-n300-d20-2.col;22;21;17.00(119/7);16.86(118/7);22;21;17.00(85/5);16.62(133/8);21;21;16.55(182/11);16.56(149/9);19;19;16.67(50/3);16.08(209/13)
random-n300-d20-3.col;23;21;16.80(168/10);16.73(184/11);22;20;16.67(100/6);16.71(117/7);21;20;16.86(118/7);16.23(211/13);18;18;16.20(162/10);16.33(98/6)
random-n300-d20-4.col;22;21;17.00(136/8);16.67(150/9);22;21;17.00(85/5);17.00(85/5);21;21;17.67(53/3);17.00(85/5);18;18;16.50(66/4);16.67(50/3)
random-n300-d20-5.col;22;21;16.89(152/9);16.67(150/9);21;21;17.00(102/6);17.00(68/4);22;21;17.00(85/5);16.25(325/20);18;18;16.00(192/12);16.00(304/19)
random-n300-d20-6.col;23;21;16.75(201/12);17.00(102/6);22;20;16.75(134/8);16.50(165/10);22;20;16.86(118/7);16.75(134/8);18;18;17.00(34/2);16.14(226/14)
random-n300-d20-7.col;22;21;17.00(119/7);16.47(247/15);21;21;17.20(86/5);17.00(102/6);22;21;17.00(85/5);16.40(164/10);19;19;16.75(67/4);16.25(130/8)
random-n300-d20-8.col;22;21;17.00(102/6);16.67(150/9);21;20;16.62(133/8);16.71(117/7);21;20;16.50(99/6);16.33(147/9);19;19;17.00(34/2);16.11(145/9)
random-n300-d20-9.col;22;21;18.00(54/3);17.00(85/5);20;20;17.67(53/3);16.56(149/9);21;20;17.00(85/5);16.62(133/8);18;18;16.75(67/4);17.00(34/2)
