Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n300-d40-1.col;39;37;31.30(313/10);31.60(158/5);38;37;31.50(189/6);30.88(247/8);38;36;30.60(306/10);30.75(246/8);34;34;31.00(124/4);31.00(93/3)
random-n300-d40-10.col;40;37;33.00(99/3);31.60(158/5);37;35;30.86(216/7);30.18(332/11);37;37;31.40(157/5);30.38(395/13);33;33;30.60(153/5);30.60(153/5)
random-n300-d40-2.col;39;36;31.50(189/6);30.91(340/11);38;37;30.90(309/10);30.86(216/7);39;37;30.67(276/9);30.56(275/9);33;33;30.75(123/4);30.75(123/4)
random-n300-d40-3.col;40;38;32.50(130/4);30.90(309/10);36;36;31.50(189/6);30.62(245/8);38;37;31.80(159/5);30.75(246/8);33;33;30.60(153/5);30.20(151/5)
random-n300-d40-4.col;39;36;31.00(310/10);31.33(188/6);36;35;30.75(246/8);30.83(185/6);37;35;30.83(185/6);30.44(274/9);33;33;30.00(300/10);30.14(211/7)
random-n300-d40-5.col;39;36;32.00(160/5);30.83(185/6);38;36;31.00(186/6);30.33(455/15);38;36;31.00(248/8);30.80(154/5);35;35;30.33(182/6);30.11(271/9)
random-n300-d40-6.col;40;36;31.71(222/7);31.00(186/6);37;37;31.29(219/7);31.00(217/7);37;37;31.60(158/5);30.83(185/6);35;35;32.00(64/2);30.11(271/9)
random-n300-d40-7.col;38;36;31.86(223/7);30.64(337/11);38;36;31.12(249/8);30.56(275/9);38;36;31.50(126/4);30.50(244/8);34;34;31.00(93/3);30.67(92/3)
random-n300-d40-8.col;39;36;32.00(128/4);30.33(364/12);37;37;31.14(218/7);31.00(186/6);38;37;31.75(127/4);30.75(246/8);34;34;30.67(184/6);30.33(91/3)
random-n300-d40-9.col;39;38;31.67(190/6);30.71(215/7);37;35;30.75(246/8);31.50(126/4);37;36;30.23(393/13);30.56(275/9);34;34;30.50(183/6);30.20(302/10)
