Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n600-d60-1.col;104;98;86.40(864/10);84.83(1527/18);97;96;87.00(435/5);85.00(680/8);103;97;85.21(1193/14);84.92(1019/12);94;94;85.09(936/11);84.82(933/11)
random-n600-d60-10.col;103;98;86.33(1036/12);85.71(600/7);102;98;86.22(776/9);84.71(1186/14);101;98;87.40(437/5);85.50(513/6);94;94;86.20(431/5);84.50(507/6)
random-n600-d60-2.col;100;96;85.77(1115/13);84.86(1188/14);98;96;86.00(774/9);84.73(932/11);100;95;85.88(687/8);85.00(680/8);94;94;85.40(427/5);84.00(756/9)
random-n600-d60-3.col;100;97;87.60(438/5);84.60(1269/15);102;98;86.00(1118/13);85.25(682/8);101;100;85.58(1027/12);84.69(1101/13);94;94;84.91(934/11);87.00(261/3)
random-n600-d60-4.col;103;98;85.72(1543/18);86.60(433/5);102;96;87.00(696/8);84.92(1104/13);100;96;85.64(942/11);84.06(1429/17);95;94;86.67(520/6);85.50(342/4)
random-n600-d60-5.col;101;97;85.83(1030/12);86.00(688/8);98;97;85.25(1023/12);85.88(687/8);103;98;86.29(604/7);85.14(596/7);95;95;85.18(937/11);85.20(426/5)
random-n600-d60-6.col;103;100;86.25(1035/12);85.00(765/9);100;98;85.36(1195/14);84.20(1263/15);102;98;86.50(519/6);85.00(935/11);96;95;84.82(933/11);84.43(591/7)
random-n600-d60-7.col;103;100;85.93(1203/14);85.89(773/9);99;98;86.23(1121/13);86.00(516/6);101;98;88.00(352/4);85.11(766/9);91;91;86.20(431/5);85.12(681/8)
random-n600-d60-8.col;106;99;87.11(784/9);85.36(1195/14);101;97;85.83(1030/12);85.00(1445/17);101;96;85.62(685/8);85.22(767/9);95;95;86.67(520/6);85.38(683/8)
random-n600-d60-9.col;100;96;86.40(864/10);84.93(1189/14);98;95;85.89(773/9);84.86(594/7);101;97;87.50(525/6);86.17(517/6);95;95;86.00(430/5);85.00(510/6)
