Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n500-d20-1.col;32;30;24.36(341/14);24.00(480/20);30;29;24.50(196/8);24.30(243/10);31;30;24.12(193/8);23.96(551/23);27;27;24.00(216/9);24.00(192/8)
random-n500-d20-10.col;31;30;25.40(127/5);24.00(312/13);30;29;24.44(220/9);24.20(242/10);32;30;24.08(313/13);24.08(313/13);27;27;24.25(97/4);23.75(190/8)
random-n500-d20-2.col;32;30;24.56(221/9);24.42(293/12);30;29;26.00(78/3);24.00(432/18);31;30;24.18(266/11);24.10(241/10);28;28;24.14(169/7);24.00(144/6)
random-n500-d20-3.col;30;30;24.86(174/7);24.44(220/9);30;29;24.21(339/14);24.12(410/17);30;30;24.00(360/15);24.50(147/6);28;28;23.89(215/9);24.00(192/8)
random-n500-d20-4.col;31;29;24.38(390/16);24.75(198/8);30;29;24.45(269/11);24.00(408/17);31;29;24.50(196/8);24.00(312/13);27;27;24.00(168/7);24.00(192/8)
random-n500-d20-5.col;32;31;24.67(296/12);24.67(222/9);30;29;24.17(290/12);23.88(406/17);30;30;24.27(267/11);24.00(480/20);27;27;23.83(143/6);24.20(121/5)
random-n500-d20-6.col;33;30;24.75(198/8);24.00(576/24);30;29;24.62(197/8);24.00(456/19);31;29;24.80(124/5);24.00(408/17);27;27;24.40(122/5);24.20(121/5)
random-n500-d20-7.col;32;30;24.89(224/9);24.25(291/12);31;29;24.50(196/8);24.57(172/7);30;29;24.00(456/19);24.07(361/15);26;26;24.33(146/6);23.88(191/8)
random-n500-d20-8.col;33;31;25.00(200/8);24.71(173/7);30;30;24.31(316/13);24.20(363/15);30;30;24.40(244/10);24.14(338/14);26;26;23.91(263/11);24.00(192/8)
random-n500-d20-9.col;32;30;24.89(224/9);25.00(175/7);30;29;24.38(195/8);24.00(336/14);32;31;24.67(148/6);24.83(149/6);28;28;24.40(122/5);23.88(191/8)
