Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n700-d80-1.col;181;170;155.22(1397/9);153.62(1229/8);172;169;155.57(1089/7);152.18(1674/11);176;168;154.60(1546/10);151.18(1663/11);164;163;154.27(1697/11);151.12(1209/8)
random-n700-d80-10.col;181;171;153.62(1997/13);152.10(1521/10);173;168;155.44(1399/9);151.91(1671/11);178;168;154.86(1084/7);150.89(1358/9);168;167;154.40(772/5);154.75(619/4)
random-n700-d80-2.col;179;169;153.85(2000/13);154.00(770/5);173;167;155.14(1086/7);153.00(918/6);178;169;154.12(1233/8);151.55(1667/11);169;167;153.50(921/6);151.50(1515/10)
random-n700-d80-3.col;177;168;154.50(1545/10);151.62(3184/21);174;167;154.78(1393/9);152.46(1982/13);181;171;157.40(787/5);153.20(1532/10);165;165;154.00(1078/7);150.93(2113/14)
random-n700-d80-4.col;177;169;153.53(2610/17);151.75(1214/8);174;168;153.69(1998/13);153.17(919/6);177;167;153.30(1533/10);151.00(1661/11);163;163;152.88(1223/8);151.08(1813/12)
random-n700-d80-5.col;177;168;153.75(1845/12);151.58(1819/12);174;169;153.69(1998/13);154.00(616/4);178;170;156.40(782/5);153.17(919/6);164;163;153.50(921/6);152.75(611/4)
random-n700-d80-6.col;179;169;156.40(1564/10);153.00(1224/8);174;171;155.43(1088/7);152.22(1370/9);176;169;154.57(1082/7);152.00(1216/8);162;162;154.75(619/4);150.36(2105/14)
random-n700-d80-7.col;178;170;154.91(1704/11);151.80(1518/10);177;169;155.83(935/6);153.44(1381/9);179;171;154.33(1389/9);152.50(915/6);165;163;153.36(1687/11);151.86(1063/7)
random-n700-d80-8.col;180;172;154.60(2319/15);152.83(1834/12);176;169;154.75(1238/8);152.13(2282/15);177;167;153.50(1228/8);152.29(1066/7);167;166;155.00(620/4);151.86(1063/7)
random-n700-d80-9.col;176;170;154.70(1547/10);151.45(1666/11);174;170;153.91(1693/11);152.67(1374/9);176;170;157.00(785/5);152.38(1219/8);168;166;153.38(1227/8);151.54(1970/13)
