Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n900-d20-1.col;50;47;39.57(277/7);38.67(464/12);46;46;38.90(389/10);38.25(459/12);48;47;38.64(425/11);38.33(575/15);43;43;38.60(193/5);37.75(453/12)
random-n900-d20-10.col;50;47;38.69(503/13);40.00(160/4);48;46;38.70(387/10);38.47(577/15);49;46;38.04(875/23);38.15(763/20);43;43;37.90(379/10);39.00(117/3)
random-n900-d20-2.col;49;47;38.92(467/12);38.62(502/13);47;46;40.00(160/4);38.56(347/9);49;47;38.12(610/16);38.19(611/16);43;43;38.67(232/6);37.73(415/11)
random-n900-d20-3.col;50;47;38.90(389/10);38.69(503/13);48;47;38.57(540/14);38.42(461/12);48;47;38.67(348/9);38.60(386/10);43;43;37.83(681/18);37.88(303/8)
random-n900-d20-4.col;48;47;38.73(581/15);39.00(351/9);47;46;38.78(349/9);38.00(1216/32);49;47;39.33(236/6);38.00(798/21);42;42;38.12(305/8);37.75(453/12)
random-n900-d20-5.col;49;47;38.69(619/16);38.64(425/11);47;46;38.83(466/12);38.56(347/9);48;47;38.64(425/11);38.86(272/7);43;43;38.00(608/16);38.40(192/5)
random-n900-d20-6.col;49;48;38.83(466/12);38.60(386/10);48;47;38.89(350/9);38.75(310/8);49;47;38.73(426/11);38.42(461/12);43;43;38.11(343/9);38.11(343/9)
random-n900-d20-7.col;49;48;38.92(506/13);38.40(576/15);48;46;39.00(273/7);38.06(685/18);48;47;38.07(571/15);38.56(347/9);44;44;38.20(382/10);37.86(265/7)
random-n900-d20-8.col;49;47;39.00(351/9);38.90(389/10);47;45;38.70(387/10);38.86(272/7);47;46;39.00(234/6);38.12(648/17);43;43;38.00(380/10);37.90(379/10)
random-n900-d20-9.col;49;47;38.77(504/13);39.00(390/10);47;46;38.90(389/10);38.64(425/11);49;47;38.45(423/11);38.36(422/11);44;44;37.95(797/21);37.75(302/8)
