Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n100-d60-a-n100-d60-1.col;26;24;21.50(86/4);20.60(103/5);26;24;20.00(180/9);21.00(42/2);25;22;20.80(104/5);21.00(42/2);23;22;20.40(102/5);20.67(62/3)
random-n100-d60-b-n100-d60-1.col;25;24;20.71(145/7);20.33(122/6);24;23;20.62(165/8);20.40(102/5);24;23;22.00(44/2);20.60(103/5);21;21;20.50(41/2);21.00(21/1)
random-n100-d60-c-n100-d60-1.col;24;22;21.67(65/3);22.00(22/1);24;23;20.67(124/6);20.67(62/3);25;24;21.00(63/3);20.50(82/4);21;21;21.00(21/1);21.00(21/1)
random-n100-d60-d-n100-d60-1.col;24;23;22.50(45/2);21.00(84/4);24;23;21.33(64/3);21.33(64/3);25;23;21.00(105/5);20.57(144/7);22;22;21.00(42/2);20.40(102/5)
random-n100-d60-e-n100-d60-1.col;26;23;21.00(147/7);21.00(63/3);25;23;22.00(44/2);20.20(101/5);25;23;20.62(165/8);20.20(101/5);22;22;20.67(62/3);21.00(42/2)
random-n100-d60-f-n100-d60-1.col;26;24;21.67(65/3);20.00(120/6);23;22;20.40(102/5);21.00(42/2);23;22;20.00(100/5);20.00(100/5);21;21;19.50(117/6);21.00(21/1)
random-n100-d60-g-n100-d60-1.col;25;24;20.73(228/11);20.27(223/11);23;22;21.00(84/4);20.25(81/4);25;23;20.75(83/4);20.17(121/6);21;21;20.00(40/2);19.75(79/4)
random-n100-d60-h-n100-d60-1.col;27;23;20.00(260/13);20.40(102/5);23;22;20.67(62/3);20.00(120/6);23;22;21.00(63/3);20.33(61/3);22;21;20.33(61/3);20.00(40/2)
random-n100-d60-i-n100-d60-1.col;25;24;22.00(66/3);21.00(84/4);24;24;21.00(84/4);21.00(84/4);23;22;20.40(102/5);20.25(162/8);22;22;19.71(138/7);21.00(42/2)
random-n100-d60-j-n100-d60-1.col;26;24;21.33(64/3);21.00(84/4);25;23;20.60(103/5);20.50(123/6);25;24;20.62(165/8);20.50(82/4);21;21;21.00(21/1);21.00(21/1)
