Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n800-d80-1.col;201;188;172.23(2239/13);170.00(1870/11);197;190;173.56(1562/9);170.78(1537/9);199;189;173.57(1215/7);169.53(2543/15);187;185;172.55(1898/11);170.50(1364/8)
random-n800-d80-10.col;201;189;172.65(3453/20);170.73(1878/11);197;194;172.57(2416/14);170.21(2383/14);200;194;171.53(2916/17);170.88(1367/8);187;186;177.00(354/2);171.80(859/5)
random-n800-d80-2.col;203;192;174.12(1393/8);171.60(1716/10);199;187;172.64(2417/14);172.40(862/5);200;190;173.00(1557/9);170.44(1534/9);187;185;172.40(1724/10);170.86(1196/7)
random-n800-d80-3.col;202;188;173.80(1738/10);170.71(2390/14);194;189;173.36(1907/11);169.27(3724/22);196;187;173.86(1217/7);169.83(2038/12);187;186;172.18(1894/11);170.88(1367/8)
random-n800-d80-4.col;201;191;172.50(2415/14);171.38(1371/8);198;189;175.33(1052/6);170.75(1366/8);200;192;174.00(1392/8);172.40(862/5);187;186;176.00(528/3);168.83(2026/12)
random-n800-d80-5.col;200;190;175.67(1054/6);173.00(865/5);197;189;173.38(2254/13);169.74(3904/23);199;190;171.88(2750/16);169.38(2202/13);185;184;173.17(1039/6);169.67(1018/6)
random-n800-d80-6.col;202;188;176.17(1057/6);172.00(1204/7);193;191;175.40(877/5);169.79(2377/14);198;190;172.00(1548/9);173.00(692/4);185;184;171.83(1031/6);168.79(2363/14)
random-n800-d80-7.col;203;194;175.67(1054/6);171.44(1543/9);195;189;173.67(2084/12);171.22(1541/9);197;189;173.12(1385/8);170.55(1876/11);184;184;171.71(1202/7);170.50(1023/6)
random-n800-d80-8.col;202;193;173.93(2435/14);171.47(2572/15);197;192;172.92(2075/12);171.38(1371/8);200;191;172.46(2242/13);172.75(691/4);185;183;172.33(1034/6);170.44(1534/9)
random-n800-d80-9.col;199;189;178.25(713/4);176.67(530/3);198;190;172.07(2581/15);171.50(1372/8);198;188;171.43(2400/14);170.62(1365/8);188;185;171.75(1374/8);169.27(1862/11)
