Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n700-d40-1.col;74;72;60.92(792/13);60.83(730/12);71;70;61.11(550/9);61.83(371/6);72;71;60.89(548/9);60.06(1021/17);67;67;60.50(484/8);60.33(362/6)
random-n700-d40-10.col;75;72;62.80(314/5);60.38(966/16);71;69;61.80(309/5);60.08(781/13);74;71;60.79(851/14);61.00(427/7);67;67;61.00(366/6);60.67(364/6)
random-n700-d40-2.col;76;71;60.94(975/16);61.00(732/12);72;71;60.93(914/15);60.46(786/13);73;71;60.50(726/12);59.90(1737/29);66;66;61.33(368/6);60.50(484/8)
random-n700-d40-3.col;76;73;60.93(853/14);60.46(786/13);71;70;61.50(492/8);60.36(845/14);74;71;60.58(727/12);60.67(546/9);68;68;60.88(487/8);60.08(781/13)
random-n700-d40-4.col;74;73;61.14(856/14);60.90(609/10);71;69;61.33(368/6);60.22(1084/18);74;71;60.73(668/11);60.50(605/10);67;67;61.00(305/5);60.18(662/11)
random-n700-d40-5.col;75;71;60.71(850/14);60.75(729/12);73;70;62.50(250/4);60.36(664/11);75;72;61.29(429/7);60.82(669/11);67;67;60.08(721/12);60.22(542/9)
random-n700-d40-6.col;76;72;61.67(555/9);61.38(491/8);73;72;60.73(668/11);60.44(967/16);72;70;61.50(492/8);62.00(248/4);66;66;60.50(363/6);61.50(246/4)
random-n700-d40-7.col;76;71;60.95(1158/19);61.00(549/9);73;70;61.83(371/6);60.06(961/16);73;70;61.57(431/7);60.56(545/9);68;68;60.86(426/7);60.50(363/6)
random-n700-d40-8.col;77;73;60.78(1094/18);61.25(490/8);73;70;61.17(734/12);60.45(665/11);74;72;61.80(309/5);60.55(666/11);67;67;59.92(779/13);59.58(715/12)
random-n700-d40-9.col;74;71;61.78(556/9);61.57(431/7);72;71;62.00(372/6);60.12(962/16);73;72;61.50(615/10);61.00(549/9);67;67;60.00(660/11);60.33(362/6)
