Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n400-d80-1.col;111;105;95.38(763/8);95.30(953/10);109;105;99.67(299/3);94.88(759/8);109;106;94.33(1132/12);94.00(846/9);104;101;94.50(567/6);94.60(473/5)
random-n400-d80-10.col;115;109;96.27(1059/11);94.91(1044/11);110;105;98.75(395/4);93.92(1127/12);110;105;95.29(1334/14);94.12(753/8);102;101;95.40(477/5);93.40(934/10)
random-n400-d80-2.col;117;105;96.50(965/10);96.25(385/4);108;105;96.60(483/5);94.54(1229/13);110;105;96.67(580/6);93.89(845/9);102;100;95.67(287/3);93.70(937/10)
random-n400-d80-3.col;112;106;96.20(962/10);94.62(757/8);107;105;95.78(862/9);94.17(565/6);111;107;95.00(855/9);95.80(479/5);107;105;94.89(854/9);95.00(380/4)
random-n400-d80-4.col;111;105;95.88(767/8);94.62(757/8);108;104;98.00(294/3);93.83(1126/12);111;104;96.20(481/5);93.00(744/8);102;102;94.00(846/9);93.29(653/7)
random-n400-d80-5.col;108;106;98.00(392/4);94.54(1229/13);108;104;96.40(482/5);94.33(849/9);108;105;97.50(390/4);94.40(944/10);102;101;95.83(575/6);94.08(1129/12)
random-n400-d80-6.col;113;106;96.27(1059/11);94.50(756/8);111;106;97.75(391/4);95.00(380/4);109;105;94.85(1233/13);93.70(937/10);105;102;94.00(658/7);94.50(567/6)
random-n400-d80-7.col;113;108;95.75(1149/12);94.80(948/10);110;104;95.23(1238/13);94.86(664/7);110;105;96.00(576/6);94.67(568/6);103;101;94.00(846/9);93.50(748/8)
random-n400-d80-8.col;116;103;94.80(948/10);93.75(1125/12);109;106;97.25(389/4);93.73(1406/15);112;102;95.71(670/7);92.45(1017/11);102;102;95.00(285/3);93.00(930/10)
random-n400-d80-9.col;109;106;95.00(1330/14);94.83(569/6);111;103;97.00(582/6);95.75(383/4);109;105;95.17(1142/12);93.92(1221/13);102;102;95.00(380/4);93.45(1028/11)
