Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n900-d60-1.col;143;138;121.67(1460/12);119.26(2266/19);142;136;121.50(1215/10);120.67(724/6);143;135;120.06(2161/18);119.17(1430/12);134;134;120.44(1084/9);118.72(2137/18)
random-n900-d60-10.col;144;137;120.73(1811/15);119.25(1908/16);139;137;120.80(1208/10);119.42(1433/12);138;136;120.00(1800/15);118.82(1307/11);132;132;121.14(848/7);118.29(2011/17)
random-n900-d60-2.col;144;138;121.14(1696/14);120.33(1083/9);141;137;123.00(738/6);119.80(1198/10);144;137;121.71(852/7);119.13(1787/15);131;131;120.00(960/8);119.62(957/8)
random-n900-d60-3.col;143;139;121.18(1333/11);121.14(848/7);140;136;120.14(2523/21);118.52(3200/27);136;135;120.90(1209/10);118.75(1900/16);133;133;120.38(963/8);120.00(720/6)
random-n900-d60-4.col;143;140;121.00(1331/11);119.67(1077/9);138;136;120.64(1689/14);121.75(487/4);140;136;119.71(1676/14);119.15(1549/13);132;132;119.73(1317/11);119.00(952/8)
random-n900-d60-5.col;144;138;122.62(981/8);121.57(851/7);140;136;122.25(978/8);119.67(1077/9);140;137;122.00(854/7);119.70(1197/10);133;133;121.14(848/7);119.78(1078/9)
random-n900-d60-6.col;144;136;120.64(1689/14);120.71(845/7);138;135;121.36(1335/11);119.31(1551/13);141;136;120.33(1444/12);118.62(1898/16);132;132;121.00(605/5);118.55(1304/11)
random-n900-d60-7.col;144;137;121.33(1456/12);119.73(1796/15);138;135;121.00(1452/12);119.12(2025/17);141;136;122.14(855/7);118.85(1545/13);132;132;120.10(1201/10);119.86(839/7)
random-n900-d60-8.col;144;140;122.11(1099/9);121.00(968/8);139;136;120.78(1087/9);120.43(843/7);142;137;120.07(1681/14);118.88(1902/16);134;133;119.79(1677/14);119.38(955/8)
random-n900-d60-9.col;141;136;121.55(1337/11);119.23(1550/13);139;137;120.15(2403/20);118.85(1545/13);142;137;122.33(734/6);120.83(725/6);131;131;120.57(844/7);119.57(837/7)
