Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n100-d80-1.col;39;36;32.25(129/4);30.50(183/6);36;32;30.33(182/6);31.00(62/2);36;35;30.80(154/5);32.00(64/2);35;34;31.00(62/2);30.25(242/8)
random-n100-d80-10.col;35;32;30.75(123/4);30.67(92/3);33;32;31.00(124/4);31.00(62/2);36;33;30.00(300/10);30.00(150/5);32;32;30.67(92/3);29.33(176/6)
random-n100-d80-2.col;37;33;31.29(219/7);31.33(94/3);36;35;32.67(98/3);31.00(279/9);34;32;30.80(154/5);32.00(32/1);33;33;31.00(62/2);30.86(216/7)
random-n100-d80-3.col;36;33;31.60(158/5);33.00(33/1);35;33;31.00(124/4);30.67(92/3);35;33;29.55(325/11);30.00(150/5);32;32;31.00(62/2);30.00(180/6)
random-n100-d80-4.col;37;35;30.20(302/10);31.00(186/6);35;33;33.00(66/2);31.00(155/5);35;32;30.20(151/5);32.00(32/1);30;30;30.00(30/1);30.00(30/1)
random-n100-d80-5.col;33;32;31.33(94/3);29.75(238/8);34;33;30.80(154/5);31.00(155/5);33;31;30.60(153/5);31.00(31/1);33;33;30.20(151/5);29.83(179/6)
random-n100-d80-6.col;39;36;32.60(163/5);31.11(280/9);34;34;34.00(34/1);31.33(94/3);37;35;31.38(251/8);30.90(309/10);33;33;31.50(126/4);30.71(215/7)
random-n100-d80-7.col;37;34;30.71(215/7);31.50(63/2);34;33;31.50(63/2);30.09(331/11);35;34;30.60(153/5);29.43(206/7);34;34;31.00(93/3);30.50(122/4)
random-n100-d80-8.col;40;34;31.11(280/9);32.50(65/2);34;33;30.89(278/9);31.00(93/3);34;32;31.00(124/4);29.86(209/7);32;32;31.00(62/2);30.00(120/4)
random-n100-d80-9.col;40;33;30.82(339/11);31.00(93/3);35;35;32.00(128/4);31.33(94/3);36;35;31.50(126/4);31.50(126/4);34;34;32.00(64/2);30.55(336/11)
