Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n800-d60-1.col;129;123;111.29(779/7);107.89(1942/18);128;125;110.50(884/8);108.62(869/8);129;124;108.73(1631/15);107.59(1829/17);119;119;108.33(1300/12);109.75(439/4)
random-n800-d60-10.col;132;126;110.70(1107/10);110.00(660/6);127;122;110.33(993/9);108.00(1512/14);130;124;109.00(1090/10);107.44(1719/16);117;117;110.00(440/4);107.70(1077/10)
random-n800-d60-2.col;130;125;109.70(1097/10);107.86(1510/14);128;124;109.50(1314/12);108.50(1085/10);129;124;109.13(1637/15);107.94(1727/16);120;120;108.78(979/9);107.13(1607/15)
random-n800-d60-3.col;130;124;110.11(991/9);108.21(2056/19);129;125;110.00(880/8);108.91(1198/11);127;123;109.00(1199/11);108.86(762/7);120;119;110.75(443/4);107.88(863/8)
random-n800-d60-4.col;130;125;109.50(1095/10);109.00(1090/10);127;123;109.40(1641/15);108.75(870/8);127;123;111.17(667/6);107.11(1928/18);122;120;108.83(653/6);107.86(755/7)
random-n800-d60-5.col;132;126;111.12(889/8);108.28(1949/18);125;122;110.71(775/7);108.50(1085/10);131;125;110.00(990/9);107.12(1821/17);121;120;109.27(1202/11);106.95(2032/19)
random-n800-d60-6.col;133;127;109.50(1314/12);109.00(1090/10);125;123;110.86(776/7);108.71(1522/14);130;125;110.17(661/6);107.09(2356/22);119;119;109.29(765/7);108.00(864/8)
random-n800-d60-7.col;130;123;109.50(1314/12);108.75(1305/12);127;123;109.56(986/9);108.00(1512/14);125;122;109.78(988/9);109.00(763/7);119;119;108.86(762/7);107.86(755/7)
random-n800-d60-8.col;131;124;109.44(1751/16);109.43(766/7);128;123;109.73(1207/11);109.43(766/7);131;122;109.50(876/8);107.50(1505/14);118;118;109.00(872/8);107.50(1075/10)
random-n800-d60-9.col;130;124;109.00(1853/17);108.40(1084/10);126;123;110.83(665/6);108.18(1190/11);127;121;108.87(1633/15);108.38(867/8);119;119;108.67(1304/12);107.70(1077/10)
