Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n600-d40-1.col;65;63;53.92(701/13);53.56(482/9);63;61;53.92(647/12);52.92(635/12);65;63;54.33(326/6);53.88(431/8);60;60;53.67(322/6);53.25(213/4)
random-n600-d40-10.col;67;63;54.57(382/7);54.00(432/8);64;63;53.87(808/15);53.86(377/7);65;62;53.78(484/9);53.44(481/9);58;58;54.00(162/3);52.50(420/8)
random-n600-d40-2.col;66;63;54.71(383/7);53.42(641/12);66;62;54.38(435/8);53.71(376/7);65;63;53.82(592/11);53.56(482/9);59;59;54.33(163/3);52.75(422/8)
random-n600-d40-3.col;68;63;54.00(540/10);54.00(378/7);64;62;54.14(379/7);53.33(480/9);65;63;54.00(432/8);53.86(377/7);59;59;53.30(533/10);52.60(526/10)
random-n600-d40-4.col;68;65;55.83(335/6);54.00(378/7);64;63;53.83(646/12);53.67(483/9);66;64;53.83(646/12);53.67(483/9);59;59;53.36(587/11);53.20(266/5)
random-n600-d40-5.col;65;63;54.22(488/9);53.64(590/11);64;63;53.90(539/10);53.67(483/9);65;62;54.00(432/8);53.00(583/11);60;60;53.80(269/5);52.67(474/9)
random-n600-d40-6.col;65;63;53.87(808/15);53.80(538/10);64;63;53.56(857/16);53.00(636/12);64;63;54.00(486/9);52.93(741/14);61;61;53.00(795/15);52.60(526/10)
random-n600-d40-7.col;67;64;54.00(702/13);53.21(745/14);65;61;54.43(381/7);53.08(690/13);66;62;54.43(381/7);53.00(848/16);61;60;53.18(585/11);52.36(576/11)
random-n600-d40-8.col;67;63;54.56(491/9);55.00(220/4);65;63;54.00(486/9);53.14(744/14);65;64;54.33(326/6);53.00(742/14);60;60;53.00(530/10);53.50(214/4)
random-n600-d40-9.col;65;63;54.22(488/9);53.18(1170/22);64;62;53.67(483/9);56.00(168/3);64;64;55.00(275/5);53.00(1007/19);58;58;53.29(373/7);52.71(369/7)
