Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n1000-d20-1.col;54;51;41.94(755/18);42.00(462/11);51;50;42.30(423/10);42.00(504/12);53;51;41.62(666/16);41.86(586/14);47;47;41.78(376/9);41.10(411/10)
random-n1000-d20-10.col;52;51;43.60(218/5);41.94(755/18);51;50;42.00(504/12);41.69(542/13);53;51;42.00(462/11);41.77(543/13);47;47;42.00(210/5);40.91(450/11)
random-n1000-d20-2.col;53;52;42.15(548/13);42.38(339/8);51;50;42.71(299/7);41.40(828/20);52;50;42.11(379/9);42.09(463/11);47;47;41.80(209/5);41.83(251/6)
random-n1000-d20-3.col;54;51;43.60(218/5);41.93(587/14);51;50;42.56(383/9);41.91(461/11);51;50;42.83(257/6);41.92(503/12);47;47;42.00(210/5);41.00(533/13)
random-n1000-d20-4.col;53;51;42.00(672/16);41.93(629/15);51;50;42.18(464/11);41.47(622/15);53;52;42.00(462/11);41.91(461/11);47;47;41.67(375/9);41.50(332/8)
random-n1000-d20-5.col;54;52;42.86(300/7);42.00(588/14);51;51;42.71(299/7);41.83(502/12);53;50;41.75(501/12);41.92(503/12);47;47;41.75(334/8);41.50(332/8)
random-n1000-d20-6.col;53;51;42.27(465/11);42.00(588/14);51;50;42.20(422/10);41.80(418/10);52;51;42.00(462/11);41.69(542/13);47;47;41.28(743/18);41.33(372/9)
random-n1000-d20-7.col;53;51;42.40(424/10);41.87(628/15);52;51;42.00(420/10);41.58(499/12);52;50;42.00(378/9);41.75(501/12);47;47;41.30(413/10);41.80(209/5)
random-n1000-d20-8.col;52;50;42.14(590/14);42.00(546/13);51;50;41.77(543/13);41.69(542/13);52;51;41.81(669/16);41.90(419/10);46;46;41.70(417/10);41.00(492/12)
random-n1000-d20-9.col;51;51;42.71(299/7);42.00(504/12);51;49;42.60(213/5);41.50(581/14);52;51;42.00(420/10);41.57(582/14);47;47;41.83(251/6);41.00(492/12)
