Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n200-d80-1.col;65;60;54.43(381/7);54.33(163/3);60;58;54.83(329/6);53.29(373/7);61;57;55.67(167/3);53.75(215/4);58;57;53.17(319/6);53.00(265/5)
random-n200-d80-10.col;63;59;53.50(856/16);53.33(320/6);61;59;53.70(537/10);54.00(270/5);61;59;53.50(321/6);55.00(110/2);56;56;53.60(268/5);53.40(267/5)
random-n200-d80-2.col;64;61;53.46(695/13);54.50(218/4);63;59;55.00(165/3);53.75(215/4);63;58;54.50(218/4);53.50(214/4);60;57;53.20(266/5);53.33(160/3)
random-n200-d80-3.col;63;58;54.60(273/5);53.00(318/6);63;59;53.45(588/11);53.00(530/10);65;58;54.00(324/6);52.00(468/9);59;56;53.00(371/7);53.00(318/6)
random-n200-d80-4.col;66;60;55.50(222/4);54.40(272/5);59;58;53.00(583/11);53.17(319/6);61;57;53.00(583/11);53.75(215/4);57;55;54.00(270/5);55.00(55/1)
random-n200-d80-5.col;64;59;54.12(433/8);53.33(320/6);62;59;53.83(323/6);52.71(369/7);62;59;53.67(483/9);53.50(214/4);57;56;52.80(264/5);53.00(212/4)
random-n200-d80-6.col;66;61;53.64(590/11);52.75(633/12);61;59;53.80(269/5);54.00(108/2);62;57;56.00(112/2);53.00(159/3);59;59;53.00(265/5);53.33(160/3)
random-n200-d80-7.col;66;59;53.77(699/13);53.25(213/4);62;59;55.50(222/4);55.00(110/2);63;59;54.50(218/4);52.67(316/6);57;56;53.67(161/3);52.67(158/3)
random-n200-d80-8.col;63;60;55.60(278/5);53.80(269/5);64;60;55.00(385/7);54.00(324/6);62;59;53.88(431/8);53.20(266/5);58;57;54.50(109/2);52.62(684/13)
random-n200-d80-9.col;63;59;53.22(958/18);53.00(159/3);61;60;53.40(267/5);52.67(474/9);62;58;53.12(425/8);52.80(264/5);59;57;52.60(263/5);52.00(520/10)
