Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n500-d80-1.col;136;128;116.22(1046/9);113.75(1365/12);128;123;116.00(1044/9);114.33(686/6);132;127;115.23(1498/13);113.44(1021/9);126;124;114.75(918/8);112.80(1128/10)
random-n500-d80-10.col;136;131;115.91(1275/11);115.80(579/5);134;127;116.18(1278/11);113.92(1367/12);135;127;115.55(1271/11);113.00(904/8);127;125;114.44(1030/9);114.20(571/5)
random-n500-d80-2.col;136;126;116.11(1045/9);114.10(1141/10);132;126;118.00(590/5);114.00(1026/9);133;125;114.83(1378/12);115.00(460/4);125;123;117.00(351/3);113.33(680/6)
random-n500-d80-3.col;136;128;116.50(1165/10);113.88(911/8);131;127;116.50(1165/10);113.50(1816/16);136;126;116.67(700/6);115.14(806/7);125;124;116.00(580/5);113.42(1361/12)
random-n500-d80-4.col;135;130;116.43(815/7);114.86(804/7);132;128;118.75(475/4);113.80(1138/10);136;128;114.38(1487/13);114.11(1027/9);127;125;114.88(919/8);114.67(688/6)
random-n500-d80-5.col;136;128;118.60(593/5);116.00(464/4);135;127;116.12(929/8);114.27(1257/11);133;128;116.25(930/8);114.00(1026/9);126;124;113.78(1024/9);114.62(917/8)
random-n500-d80-6.col;132;125;115.70(1157/10);112.88(1806/16);127;124;118.00(472/4);113.39(2041/18);134;126;114.75(1377/12);115.00(690/6);128;127;116.00(464/4);113.14(792/7)
random-n500-d80-7.col;137;129;119.25(477/4);114.38(915/8);131;127;116.80(584/5);113.88(911/8);133;128;116.33(698/6);113.33(1360/12);126;125;115.33(692/6);113.00(1130/10)
random-n500-d80-8.col;140;130;116.75(934/8);115.17(691/6);131;125;116.75(934/8);114.38(915/8);136;130;116.71(817/7);115.80(579/5);125;124;115.00(805/7);113.71(796/7)
random-n500-d80-9.col;139;130;119.00(476/4);114.62(917/8);132;126;117.50(705/6);114.40(1144/10);137;126;114.86(1608/14);113.25(906/8);126;125;115.17(691/6);112.47(1912/17)
