Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n800-d40-1.col;83;79;68.33(820/12);68.38(547/8);80;79;67.93(1019/15);67.62(541/8);81;79;67.90(679/10);68.29(478/7);75;75;67.71(474/7);66.73(734/11)
random-n800-d40-10.col;84;80;68.24(1160/17);68.11(613/9);80;78;67.94(1087/16);67.38(876/13);83;80;68.86(482/7);67.29(942/14);74;74;67.57(473/7);67.00(804/12)
random-n800-d40-2.col;84;80;68.54(891/13);68.83(413/6);79;77;68.38(547/8);68.00(544/8);81;79;67.80(1017/15);68.43(479/7);74;74;67.50(675/10);67.20(336/5)
random-n800-d40-3.col;84;79;68.46(890/13);67.33(1010/15);81;79;69.00(483/7);67.67(609/9);82;77;68.09(749/11);68.11(613/9);76;76;67.42(809/12);66.92(870/13)
random-n800-d40-4.col;83;79;68.00(952/14);67.50(1215/18);81;79;67.93(951/14);67.70(677/10);82;80;67.54(878/13);67.86(475/7);76;76;67.60(676/10);66.78(601/9)
random-n800-d40-5.col;82;80;68.91(758/11);67.83(814/12);80;80;68.55(754/11);68.00(680/10);80;79;67.41(1146/17);67.67(812/12);74;74;67.44(607/9);67.50(270/4)
random-n800-d40-6.col;84;81;68.50(685/10);67.91(747/11);82;81;68.45(753/11);68.00(544/8);81;79;68.22(614/9);67.38(1078/16);74;74;68.00(340/5);66.83(802/12)
random-n800-d40-7.col;84;80;68.50(685/10);67.45(1349/20);80;79;67.79(949/14);67.27(740/11);81;79;67.91(747/11);68.29(478/7);75;75;66.95(1339/20);66.83(802/12)
random-n800-d40-8.col;83;80;67.88(1697/25);67.64(947/14);81;80;69.14(484/7);67.80(678/10);82;80;67.80(678/10);67.64(744/11);74;74;67.55(743/11);66.89(602/9)
random-n800-d40-9.col;84;80;68.31(888/13);67.82(746/11);81;79;68.67(618/9);67.85(882/13);82;79;68.00(680/10);67.12(1141/17);76;76;68.00(476/7);67.00(536/8)
