Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n900-d40-1.col;91;90;77.00(462/6);74.61(1343/18);90;88;76.00(532/7);74.36(818/11);91;89;75.22(677/9);73.95(1405/19);83;83;75.00(450/6);73.43(1028/14)
random-n900-d40-10.col;91;87;75.33(904/12);74.30(1486/20);90;87;74.93(1124/15);74.50(745/10);87;87;76.40(382/5);74.33(892/12);83;83;74.67(672/9);74.12(593/8)
random-n900-d40-2.col;94;89;76.14(533/7);74.87(1123/15);91;87;75.73(833/11);74.62(597/8);91;87;75.83(455/6);74.75(897/12);83;83;75.00(375/5);74.00(740/10)
random-n900-d40-3.col;90;87;75.55(831/11);74.37(1413/19);88;86;75.00(675/9);74.22(1336/18);91;89;74.40(1116/15);74.33(892/12);84;84;74.13(1112/15);74.00(666/9)
random-n900-d40-4.col;91;88;75.17(902/12);74.47(1266/17);90;88;75.14(1052/14);74.00(1628/22);89;86;74.90(749/10);74.14(1038/14);82;82;74.20(742/10);74.29(520/7)
random-n900-d40-5.col;92;86;75.56(680/9);74.71(1046/14);88;86;75.75(606/8);74.67(896/12);89;87;75.83(455/6);75.00(750/10);83;83;74.09(815/11);73.88(591/8)
random-n900-d40-6.col;92;86;75.27(828/11);74.45(1638/22);89;87;75.30(753/10);74.50(894/12);90;88;75.00(900/12);74.88(599/8);84;84;74.21(1039/14);73.45(808/11)
random-n900-d40-7.col;91;89;75.38(980/13);74.91(824/11);88;86;75.78(682/9);74.38(967/13);90;88;74.92(974/13);75.00(600/8);83;83;74.67(672/9);73.70(737/10)
random-n900-d40-8.col;91;88;75.00(1050/14);74.69(971/13);88;88;74.93(1049/14);74.62(597/8);89;87;74.53(1118/15);74.42(893/12);84;84;75.00(375/5);74.29(520/7)
random-n900-d40-9.col;90;87;74.82(1272/17);75.00(750/10);89;87;76.17(457/6);74.70(747/10);90;87;74.62(970/13);74.54(969/13);82;82;74.80(374/5);73.36(1027/14)
