Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n1000-d40-1.col;99;95;82.27(905/11);82.09(903/11);97;94;81.64(1143/14);81.62(653/8);96;94;81.19(1299/16);80.89(1537/19);91;91;82.00(492/6);81.00(405/5)
random-n1000-d40-10.col;99;97;81.88(1310/16);80.91(1861/23);96;95;83.00(747/9);81.45(896/11);98;95;82.38(659/8);81.47(1222/15);91;91;81.60(816/10);80.44(724/9)
random-n1000-d40-2.col;101;96;81.84(1555/19);81.58(979/12);97;95;82.89(746/9);81.15(1055/13);96;95;82.22(740/9);81.25(975/12);90;90;80.94(1457/18);80.45(885/11)
random-n1000-d40-3.col;100;96;81.63(1551/19);81.36(1139/14);97;95;82.62(661/8);81.90(819/10);98;94;81.50(1141/14);81.60(816/10);89;89;80.72(1453/18);80.40(804/10)
random-n1000-d40-4.col;98;95;82.30(823/10);81.50(978/12);97;95;81.65(1388/17);80.85(2102/26);98;94;81.62(1061/13);80.93(1214/15);91;91;81.57(571/7);80.56(725/9)
random-n1000-d40-5.col;99;97;83.00(664/8);82.00(738/9);96;95;81.53(1223/15);80.79(1131/14);97;94;81.89(737/9);81.75(654/8);90;90;80.71(1695/21);80.21(1123/14)
random-n1000-d40-6.col;99;95;82.08(985/12);81.53(1223/15);99;95;81.73(1226/15);81.78(736/9);97;95;81.73(899/11);81.07(1216/15);91;91;81.71(572/7);80.80(808/10)
random-n1000-d40-7.col;101;96;81.94(1311/16);82.83(497/6);98;95;82.18(904/11);80.81(1293/16);96;93;82.62(661/8);80.93(1214/15);91;91;81.08(1054/13);81.50(326/4)
random-n1000-d40-8.col;100;97;82.70(827/10);82.00(738/9);97;95;82.18(904/11);81.25(975/12);96;94;82.71(579/7);81.78(736/9);90;90;81.07(1216/15);81.20(406/5)
random-n1000-d40-9.col;99;97;82.31(1070/13);81.90(819/10);97;95;82.00(738/9);81.31(1057/13);97;95;81.70(817/10);81.06(1297/16);91;91;81.44(733/9);81.80(409/5)
