Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n200-d20-1.col;17;16;12.62(101/8);12.62(101/8);16;15;13.00(39/3);12.43(87/7);16;16;12.75(51/4);12.43(87/7);14;14;12.10(121/10);12.00(72/6)
random-n200-d20-10.col;16;15;12.50(125/10);12.04(289/24);15;15;12.80(64/5);12.29(172/14);16;16;12.29(86/7);12.27(135/11);14;14;12.00(60/5);12.00(84/7)
random-n200-d20-2.col;17;16;13.00(65/5);12.50(100/8);16;15;12.20(122/10);12.00(204/17);16;14;12.00(144/12);12.30(123/10);14;14;12.00(84/7);12.00(84/7)
random-n200-d20-3.col;18;16;12.57(88/7);12.50(100/8);16;15;13.00(39/3);12.44(112/9);16;15;12.80(64/5);12.33(74/6);14;14;12.00(168/14);12.08(157/13)
random-n200-d20-4.col;16;15;13.67(41/3);12.33(111/9);15;15;12.38(99/8);12.80(64/5);17;16;13.00(39/3);12.83(77/6);14;14;12.14(85/7);12.67(38/3)
random-n200-d20-5.col;17;16;12.50(100/8);13.00(65/5);15;15;12.29(86/7);12.23(159/13);17;16;12.06(193/16);12.67(76/6);15;15;12.00(84/7);12.50(50/4)
random-n200-d20-6.col;17;15;12.62(101/8);12.14(170/14);16;15;12.75(51/4);13.00(65/5);15;15;12.40(62/5);12.00(240/20);14;14;12.17(73/6);11.90(119/10)
random-n200-d20-7.col;17;16;13.00(65/5);12.75(51/4);15;15;13.00(39/3);12.75(51/4);17;15;13.00(39/3);12.60(63/5);14;14;13.00(26/2);12.00(132/11)
random-n200-d20-8.col;17;16;13.67(41/3);12.27(135/11);15;15;12.67(76/6);12.16(231/19);16;15;12.50(75/6);12.19(195/16);15;15;12.67(38/3);12.00(132/11)
random-n200-d20-9.col;18;16;13.00(65/5);13.00(39/3);15;15;12.43(87/7);12.11(230/19);15;15;12.67(76/6);12.15(158/13);14;14;12.00(108/9);12.67(38/3)
