Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n500-d60-1.col;89;84;73.50(735/10);74.00(444/6);86;83;73.50(588/8);72.55(798/11);87;83;73.38(954/13);73.20(366/5);79;79;72.75(582/8);72.00(648/9)
random-n500-d60-10.col;89;86;73.71(1548/21);74.00(666/9);88;83;74.50(596/8);73.86(517/7);88;83;73.50(588/8);73.00(511/7);81;80;73.43(514/7);73.00(438/6)
random-n500-d60-2.col;89;83;75.00(525/7);73.08(877/12);85;82;75.40(377/5);73.17(439/6);90;85;73.89(665/9);72.88(583/8);80;80;72.86(510/7);72.57(508/7)
random-n500-d60-3.col;89;83;74.15(964/13);74.20(371/5);85;83;74.60(373/5);72.82(801/11);87;83;74.57(522/7);73.00(365/5);79;79;73.75(295/4);73.20(366/5)
random-n500-d60-4.col;88;83;73.83(886/12);72.86(1020/14);87;84;74.00(740/10);72.89(656/9);85;81;74.67(448/6);74.25(297/4);81;81;73.10(731/10);72.86(510/7)
random-n500-d60-5.col;87;83;74.10(741/10);73.56(662/9);87;83;74.60(373/5);73.75(590/8);86;82;73.17(878/12);73.00(584/8);79;79;76.00(152/2);71.91(791/11)
random-n500-d60-6.col;92;84;76.00(380/5);73.43(514/7);86;83;74.83(449/6);72.08(937/13);87;83;74.80(374/5);73.00(511/7);82;81;73.00(584/8);72.83(437/6)
random-n500-d60-7.col;89;83;74.67(448/6);72.92(875/12);89;84;74.86(524/7);73.50(735/10);88;83;74.29(520/7);72.62(581/8);82;82;72.83(874/12);72.54(943/13)
random-n500-d60-8.col;91;83;74.08(889/12);73.88(591/8);87;84;75.00(300/4);75.00(300/4);85;84;73.33(880/12);72.12(1154/16);80;80;73.60(368/5);73.17(439/6)
random-n500-d60-9.col;88;84;74.00(740/10);72.88(1166/16);87;83;73.89(665/9);72.82(801/11);88;82;73.38(954/13);72.67(654/9);80;80;73.83(443/6);72.83(437/6)
