Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n100-d40-a-n100-d40-1.col;17;16;13.67(82/6);14.00(42/3);15;15;13.80(69/5);13.67(41/3);16;16;13.00(91/7);13.00(234/18);15;15;13.33(40/3);13.17(79/6)
random-n100-d40-b-n100-d40-1.col;17;16;14.20(71/5);13.43(94/7);15;15;13.40(67/5);13.60(68/5);16;15;14.00(56/4);13.40(67/5);14;14;13.50(27/2);14.00(14/1)
random-n100-d40-c-n100-d40-1.col;18;16;13.83(83/6);14.00(42/3);16;15;13.80(69/5);13.50(108/8);17;16;13.67(82/6);13.60(68/5);14;14;14.00(14/1);13.50(27/2)
random-n100-d40-d-n100-d40-1.col;18;17;13.58(163/12);14.00(28/2);17;15;14.00(42/3);13.50(54/4);16;15;13.36(147/11);15.00(15/1);15;15;13.50(27/2);13.50(27/2)
random-n100-d40-e-n100-d40-1.col;17;16;15.00(30/2);13.40(67/5);16;16;16.00(16/1);13.00(234/18);17;15;13.11(118/9);14.00(28/2);15;15;13.50(54/4);13.17(79/6)
random-n100-d40-f-n100-d40-1.col;18;16;13.71(96/7);13.50(108/8);16;16;13.80(69/5);13.50(81/6);15;15;13.50(81/6);13.75(55/4);16;16;14.00(42/3);13.00(221/17)
random-n100-d40-g-n100-d40-1.col;17;16;14.00(98/7);13.83(83/6);18;16;13.62(109/8);13.71(96/7);16;16;13.67(82/6);14.00(28/2);14;14;14.00(14/1);13.50(27/2)
random-n100-d40-h-n100-d40-1.col;17;16;13.40(134/10);14.50(29/2);16;16;13.60(68/5);13.38(107/8);17;16;13.00(78/6);12.93(181/14);16;16;13.50(27/2);13.20(66/5)
random-n100-d40-i-n100-d40-1.col;17;17;13.62(109/8);13.33(80/6);16;16;13.75(55/4);13.60(68/5);17;16;13.43(94/7);13.12(105/8);14;14;14.00(14/1);14.00(14/1)
random-n100-d40-j-n100-d40-1.col;18;17;14.00(84/6);14.00(56/4);16;16;14.00(42/3);14.50(29/2);17;16;14.00(42/3);14.00(28/2);15;14;12.86(90/7);13.00(39/3)
