Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n400-d40-1.col;49;46;39.08(469/12);38.15(496/13);46;46;38.40(384/10);38.06(647/17);46;44;38.55(424/11);38.40(384/10);42;42;38.00(342/9);37.88(303/8)
random-n400-d40-10.col;48;47;39.43(276/7);39.00(312/8);46;45;40.00(200/5);38.67(232/6);47;45;38.78(349/9);39.00(195/5);42;42;38.57(270/7);38.14(267/7)
random-n400-d40-2.col;46;45;39.40(197/5);38.25(459/12);46;45;38.50(385/10);38.62(309/8);47;45;38.88(311/8);38.20(382/10);44;44;38.75(155/4);38.17(229/6)
random-n400-d40-3.col;49;45;38.82(427/11);38.56(347/9);47;46;39.80(199/5);38.88(311/8);49;46;39.00(351/9);38.71(271/7);42;42;39.20(196/5);39.00(117/3)
random-n400-d40-4.col;48;46;39.43(276/7);39.40(197/5);47;46;38.50(462/12);38.21(535/14);47;46;39.33(236/6);38.33(460/12);43;43;39.00(117/3);38.00(304/8)
random-n400-d40-5.col;48;46;38.53(655/17);39.50(237/6);48;47;38.82(427/11);38.88(311/8);47;44;38.89(350/9);38.09(419/11);43;43;38.22(344/9);37.73(415/11)
random-n400-d40-6.col;50;46;39.86(279/7);38.55(771/20);47;46;39.60(198/5);38.67(348/9);49;46;39.80(199/5);38.67(232/6);43;43;39.00(156/4);38.00(266/7)
random-n400-d40-7.col;49;46;39.00(390/10);39.00(273/7);47;45;39.50(237/6);38.20(573/15);48;46;38.75(465/12);40.00(120/3);42;42;39.00(156/4);39.00(156/4)
random-n400-d40-8.col;49;47;39.00(429/11);38.50(385/10);46;44;39.17(235/6);39.43(276/7);47;45;39.50(237/6);38.21(535/14);44;44;39.50(158/4);38.00(304/8)
random-n400-d40-9.col;49;46;38.67(464/12);38.40(576/15);45;45;39.40(197/5);38.00(532/14);48;45;39.17(235/6);38.71(271/7);42;42;38.80(194/5);38.60(193/5)
