Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n300-d80-1.col;89;82;75.29(527/7);74.33(669/9);85;80;74.91(824/11);74.09(815/11);88;81;76.00(304/4);74.12(593/8);81;81;75.00(375/5);74.29(520/7)
random-n300-d80-10.col;93;84;75.21(1053/14);74.75(598/8);90;85;75.27(828/11);75.40(377/5);86;83;75.00(450/6);73.91(813/11);79;79;74.00(518/7);73.36(807/11)
random-n300-d80-2.col;87;84;74.75(897/12);74.00(962/13);85;80;75.00(450/6);74.22(668/9);88;83;75.62(605/8);77.00(231/3);80;80;74.67(448/6);73.29(513/7)
random-n300-d80-3.col;88;83;74.64(821/11);73.73(1106/15);85;82;75.14(526/7);74.17(445/6);82;80;73.36(807/11);73.40(734/10);80;80;74.11(667/9);73.43(514/7)
random-n300-d80-4.col;87;84;75.00(1050/14);76.00(304/4);88;83;75.50(453/6);74.00(370/5);85;80;74.62(597/8);75.00(225/3);81;78;74.12(593/8);74.75(299/4)
random-n300-d80-5.col;88;82;77.40(387/5);74.36(818/11);85;82;75.00(900/12);75.00(300/4);87;83;75.88(607/8);73.67(442/6);81;81;74.75(299/4);72.50(435/6)
random-n300-d80-6.col;88;83;75.36(829/11);74.50(447/6);88;82;75.42(905/12);74.12(593/8);87;81;75.60(378/5);76.00(228/3);81;81;74.40(744/10);73.57(515/7)
random-n300-d80-7.col;92;83;76.00(456/6);73.89(665/9);83;79;74.89(674/9);73.56(662/9);87;81;73.90(739/10);74.75(299/4);78;78;75.00(300/4);73.50(441/6)
random-n300-d80-8.col;86;84;77.20(386/5);74.83(449/6);84;80;74.60(746/10);74.80(374/5);85;82;74.57(522/7);73.57(515/7);83;82;74.08(889/12);73.75(590/8)
random-n300-d80-9.col;85;80;75.80(379/5);74.20(371/5);83;82;75.50(604/8);74.86(524/7);85;81;74.50(596/8);74.25(297/4);82;81;75.75(303/4);76.50(153/2)
