Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n600-d20-1.col;36;34;28.00(448/16);27.82(473/17);34;33;28.57(200/7);29.00(116/4);36;34;28.00(280/10);27.82(306/11);31;31;27.47(412/15);27.31(355/13)
random-n600-d20-10.col;36;35;28.33(255/9);28.00(364/13);35;34;28.12(225/8);28.38(227/8);35;34;28.12(225/8);27.79(389/14);31;31;27.88(223/8);27.38(356/13)
random-n600-d20-2.col;37;34;28.25(339/12);28.00(476/17);35;34;29.00(145/5);28.00(280/10);35;34;28.50(171/6);28.00(308/11);31;31;28.00(140/5);27.80(139/5)
random-n600-d20-3.col;36;33;28.00(420/15);28.00(336/12);33;33;28.25(226/8);27.67(332/12);35;34;27.91(307/11);27.72(499/18);32;32;28.00(196/7);27.71(194/7)
random-n600-d20-4.col;38;35;29.50(118/4);28.43(199/7);35;34;28.25(226/8);28.00(252/9);36;35;28.50(228/8);27.64(304/11);32;32;28.00(140/5);28.00(112/4)
random-n600-d20-5.col;36;34;27.89(530/19);28.50(171/6);34;33;28.18(310/11);28.00(252/9);36;34;29.00(116/4);27.88(223/8);30;30;28.00(140/5);27.25(218/8)
random-n600-d20-6.col;37;35;28.07(393/14);28.00(280/10);35;34;28.15(366/13);27.86(390/14);35;35;27.90(279/10);27.86(390/14);31;31;27.70(277/10);27.44(247/9)
random-n600-d20-7.col;37;35;28.36(312/11);27.86(390/14);34;34;28.00(308/11);27.91(307/11);35;34;28.12(225/8);28.00(224/8);31;31;28.00(168/6);27.33(328/12)
random-n600-d20-8.col;37;35;28.15(366/13);27.95(531/19);34;33;27.87(418/15);28.29(198/7);36;34;27.73(305/11);28.80(144/5);32;32;27.71(194/7);28.00(140/5)
random-n600-d20-9.col;37;35;29.17(175/6);28.00(392/14);35;33;28.43(199/7);27.92(335/12);35;34;27.71(388/14);27.92(335/12);31;31;27.45(302/11);27.56(248/9)
