Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n700-d20-1.col;41;39;31.62(411/13);31.54(410/13);38;37;31.91(351/11);31.60(316/10);39;39;31.44(283/9);31.88(255/8);36;36;31.50(189/6);31.12(249/8)
random-n700-d20-10.col;41;39;32.50(195/6);31.53(473/15);39;38;31.91(351/11);31.50(315/10);41;39;32.00(224/7);32.00(224/7);35;35;31.75(127/4);30.85(401/13)
random-n700-d20-2.col;42;39;32.43(227/7);31.77(413/13);39;39;32.00(288/9);31.17(748/24);39;39;31.60(316/10);31.15(405/13);35;35;32.33(97/3);31.00(279/9)
random-n700-d20-3.col;40;39;31.92(383/12);32.00(320/10);39;39;31.67(285/9);31.64(348/11);39;38;31.67(285/9);31.88(255/8);35;35;31.00(341/11);30.77(400/13)
random-n700-d20-4.col;39;38;32.00(320/10);31.80(318/10);39;38;31.89(287/9);31.70(317/10);38;37;32.00(224/7);33.00(99/3);35;35;31.25(375/12);31.00(341/11)
random-n700-d20-5.col;40;38;32.29(226/7);32.00(320/10);39;38;32.43(227/7);31.67(380/12);40;39;33.00(132/4);31.78(286/9);34;34;31.50(189/6);32.00(96/3)
random-n700-d20-6.col;41;38;32.00(352/11);31.73(349/11);40;39;31.89(287/9);32.00(192/6);41;38;32.00(288/9);31.40(314/10);35;35;31.00(310/10);31.00(372/12)
random-n700-d20-7.col;41;39;31.77(413/13);31.64(348/11);40;39;33.67(101/3);32.00(192/6);40;39;31.86(223/7);31.80(318/10);35;35;31.22(281/9);31.00(279/9)
random-n700-d20-8.col;42;39;31.50(567/18);32.00(224/7);39;38;31.78(286/9);31.83(191/6);41;38;32.14(225/7);31.67(285/9);35;35;31.57(221/7);31.00(341/11)
random-n700-d20-9.col;41;39;31.91(351/11);31.89(287/9);39;38;32.00(224/7);31.86(223/7);40;39;31.88(255/8);31.60(316/10);36;36;31.17(374/12);31.00(341/11)
