Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n900-d80-1.col;219;212;191.73(2109/11);191.00(1146/6);221;213;191.56(1724/9);189.78(1708/9);220;212;190.80(1908/10);189.17(1135/6);208;206;191.00(1146/6);188.83(1133/6)
random-n900-d80-10.col;221;211;191.74(3643/19);190.33(1142/6);220;211;192.15(2498/13);188.64(2075/11);223;213;191.88(1535/8);189.33(1704/9);210;208;192.60(963/5);188.00(1880/10)
random-n900-d80-2.col;219;211;191.88(1535/8);189.00(2457/13);217;209;193.57(1355/7);189.62(2465/13);220;208;191.00(2865/15);188.44(1696/9);210;207;190.21(2663/14);188.18(2070/11)
random-n900-d80-3.col;218;210;193.67(1162/6);189.88(1519/8);215;209;190.79(2671/14);188.33(2260/12);220;208;189.86(2658/14);187.71(3191/17);212;207;191.40(957/5);188.75(1510/8)
random-n900-d80-4.col;222;214;192.89(1736/9);189.00(2457/13);218;212;194.00(1164/6);190.25(1522/8);218;213;190.57(2668/14);187.81(3005/16);205;205;196.00(392/2);188.15(2446/13)
random-n900-d80-5.col;220;210;189.64(2655/14);188.14(2634/14);215;210;193.00(965/5);190.57(1334/7);221;209;189.62(2465/13);187.64(2064/11);206;205;190.38(1523/8);187.50(1500/8)
random-n900-d80-6.col;216;209;193.00(1351/7);191.60(958/5);220;211;191.50(2681/14);190.33(1142/6);218;211;192.27(2115/11);187.67(2252/12);208;206;189.11(3593/19);186.71(2614/14)
random-n900-d80-7.col;222;212;192.18(2114/11);190.50(1524/8);216;211;192.11(1729/9);190.33(1142/6);222;213;190.60(2859/15);189.12(1513/8);205;204;189.33(1704/9);187.73(2816/15)
random-n900-d80-8.col;224;212;192.00(2496/13);188.54(2451/13);217;208;192.00(1920/10);188.19(3011/16);218;211;192.38(1539/8);188.80(1888/10);205;205;191.00(1146/6);188.00(2256/12)
random-n900-d80-9.col;221;212;191.23(2486/13);188.75(3020/16);213;208;190.62(4003/21);189.38(1515/8);217;209;191.08(2293/12);189.00(2079/11);207;206;189.13(2837/15);187.83(2254/12)
