Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n1000-d80-1.col;240;228;210.00(2100/10);206.00(2884/14);234;229;211.80(1059/5);207.42(2489/12);239;231;210.20(2102/10);207.67(1246/6);225;224;208.10(2081/10);205.71(2880/14)
random-n1000-d80-10.col;243;232;208.62(4381/21);206.80(2068/10);237;229;208.54(2711/13);206.00(1854/9);234;227;208.14(2914/14);205.60(3084/15);225;223;208.11(1873/9);206.11(1855/9)
random-n1000-d80-2.col;238;230;213.60(1068/5);208.00(1456/7);238;232;210.09(2311/11);207.20(2072/10);243;230;210.11(1891/9);205.80(4116/20);225;221;210.83(1265/6);205.22(3694/18)
random-n1000-d80-3.col;242;230;209.50(1676/8);206.73(2274/11);242;234;210.56(1895/9);208.62(1669/8);236;228;211.60(1058/5);208.00(1664/8);225;225;208.75(1670/8);205.46(2671/13)
random-n1000-d80-4.col;238;230;209.07(3136/15);209.50(1257/6);238;233;209.00(2299/11);206.91(2276/11);238;225;211.43(1480/7);207.17(1243/6);230;226;208.86(1462/7);206.70(2067/10)
random-n1000-d80-5.col;242;232;208.54(2711/13);206.60(2066/10);237;229;211.00(1477/7);207.88(1663/8);236;230;208.08(2705/13);206.85(2689/13);226;225;208.78(1879/9);205.80(2058/10)
random-n1000-d80-6.col;241;230;211.12(1689/8);207.11(1864/9);235;229;210.75(1686/8);206.75(1654/8);243;229;207.85(2702/13);204.91(4508/22);226;225;208.86(1462/7);205.00(2870/14)
random-n1000-d80-7.col;240;228;209.69(3355/16);205.85(4117/20);232;225;208.42(3960/19);205.44(3287/16);242;232;210.38(1683/8);205.80(3087/15);229;226;209.78(1888/9);205.30(2053/10)
random-n1000-d80-8.col;241;232;210.27(2313/11);206.72(3721/18);238;228;209.31(2721/13);205.79(2881/14);243;229;209.55(2305/11);206.00(2884/14);228;227;207.67(2492/12);209.00(836/4)
random-n1000-d80-9.col;237;232;207.84(3949/19);207.40(2074/10);236;230;211.50(1269/6);206.00(2472/12);237;229;208.36(2917/14);206.62(1653/8);224;224;210.00(1050/5);204.67(3684/18)
