Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n200-d40-1.col;29;27;23.60(118/5);22.30(223/10);27;25;23.50(47/2);22.00(330/15);28;26;24.00(48/2);23.33(70/3);25;25;22.33(67/3);21.82(240/11)
random-n200-d40-10.col;28;27;22.27(245/11);22.50(135/6);27;26;22.57(158/7);22.10(221/10);27;26;23.33(70/3);22.33(134/6);25;25;23.00(46/2);22.00(220/10)
random-n200-d40-2.col;27;26;22.58(271/12);22.75(91/4);28;27;22.67(68/3);22.75(91/4);28;27;22.20(222/10);22.14(155/7);25;25;23.00(46/2);21.83(131/6)
random-n200-d40-3.col;28;26;23.00(184/8);22.30(223/10);28;26;22.15(288/13);22.50(135/6);29;26;23.25(93/4);22.67(136/6);25;25;22.00(198/9);23.00(69/3)
random-n200-d40-4.col;31;27;23.00(207/9);23.25(93/4);26;25;22.25(178/8);22.60(113/5);27;27;22.50(180/8);22.08(265/12);24;24;22.00(154/7);21.89(197/9)
random-n200-d40-5.col;30;27;23.00(138/6);22.00(330/15);26;26;22.50(135/6);22.50(135/6);27;27;23.67(71/3);22.10(221/10);26;26;22.20(111/5);22.25(89/4)
random-n200-d40-6.col;28;27;22.86(160/7);23.00(115/5);26;26;22.62(181/8);22.25(267/12);27;26;22.67(136/6);22.60(113/5);25;24;22.33(67/3);21.75(261/12)
random-n200-d40-7.col;30;26;23.60(118/5);22.60(113/5);27;27;22.62(181/8);22.83(137/6);27;26;22.38(179/8);22.11(420/19);26;25;22.06(353/16);22.67(68/3)
random-n200-d40-8.col;29;27;23.00(161/7);22.83(137/6);27;27;22.40(224/10);22.06(353/16);29;27;23.00(92/4);22.80(114/5);25;25;22.67(68/3);22.40(112/5)
random-n200-d40-9.col;29;27;22.71(159/7);22.80(114/5);27;26;22.75(182/8);23.00(69/3);29;27;22.80(114/5);22.57(158/7);25;25;22.50(90/4);22.00(176/8)
