Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n600-d80-1.col;159;149;136.14(953/7);134.50(1076/8);151;148;136.80(684/5);134.83(809/6);154;148;134.00(1474/11);132.27(1984/15);149;146;135.00(675/5);135.50(271/2)
random-n600-d80-10.col;157;146;134.88(1079/8);133.38(1067/8);152;148;134.91(1484/11);134.14(939/7);159;149;134.00(1340/10);132.00(3036/23);148;147;133.71(936/7);132.50(1325/10)
random-n600-d80-2.col;155;148;136.29(954/7);134.83(809/6);154;147;137.29(961/7);133.00(1197/9);155;147;134.50(1345/10);135.00(540/4);145;145;133.71(936/7);132.43(927/7)
random-n600-d80-3.col;156;149;136.29(954/7);133.38(1067/8);156;148;134.73(1482/11);134.00(1206/9);155;148;136.12(1089/8);133.55(1469/11);146;146;134.00(1608/12);132.20(1322/10)
random-n600-d80-4.col;153;148;134.92(1619/12);133.46(1735/13);153;148;135.56(1220/9);132.31(2117/16);157;149;135.44(1219/9);133.18(1465/11);146;146;136.25(545/4);131.29(919/7)
random-n600-d80-5.col;155;149;136.00(1088/8);133.18(2264/17);156;147;135.75(1086/8);133.71(936/7);155;152;134.80(1348/10);134.80(674/5);146;146;134.25(1074/8);133.67(1203/9)
random-n600-d80-6.col;158;147;134.80(2022/15);135.00(675/5);154;149;135.60(1356/10);133.60(1336/10);154;149;135.22(1217/9);132.70(1327/10);149;146;134.67(808/6);133.00(1064/8)
random-n600-d80-7.col;157;147;136.62(1093/8);132.33(2382/18);150;147;136.80(684/5);135.00(810/6);155;150;133.57(1870/14);133.71(936/7);148;147;134.88(1079/8);132.64(1459/11)
random-n600-d80-8.col;158;149;135.18(1487/11);133.75(1070/8);154;149;134.73(1482/11);132.36(1456/11);155;149;135.50(1084/8);131.53(2236/17);143;143;134.00(1072/8);133.00(1064/8)
random-n600-d80-9.col;157;150;135.56(1220/9);133.91(1473/11);153;146;137.00(685/5);133.89(1205/9);156;149;135.83(815/6);132.78(1195/9);149;149;133.80(2007/15);133.25(1066/8)
