Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n300-d60-1.col;59;56;49.14(344/7);48.00(624/13);55;53;48.80(244/5);48.40(242/5);58;55;48.25(386/8);47.91(527/11);53;53;49.00(147/3);47.44(427/9)
random-n300-d60-10.col;61;57;49.60(248/5);48.00(432/9);59;56;48.50(485/10);47.86(335/7);58;56;48.50(291/6);48.00(336/7);52;52;47.80(239/5);46.86(328/7)
random-n300-d60-2.col;60;56;49.09(540/11);49.00(245/5);55;54;48.60(486/10);48.00(432/9);57;53;48.67(292/6);47.50(380/8);53;52;49.00(196/4);47.67(286/6)
random-n300-d60-3.col;61;56;48.40(484/10);47.88(383/8);57;56;50.00(200/4);47.89(431/9);56;55;49.00(245/5);48.75(195/4);54;54;47.75(382/8);47.10(471/10)
random-n300-d60-4.col;60;54;49.00(294/6);48.83(293/6);55;53;50.00(200/4);47.88(383/8);58;56;48.00(480/10);48.00(384/8);55;54;48.00(288/6);49.00(147/3)
random-n300-d60-5.col;59;55;50.67(152/3);48.67(292/6);58;55;50.33(151/3);48.38(387/8);58;54;48.11(433/9);47.64(524/11);53;53;48.50(291/6);48.12(385/8)
random-n300-d60-6.col;58;56;50.25(201/4);48.67(292/6);57;54;49.50(297/6);48.00(384/8);58;55;47.83(574/12);47.19(755/16);52;52;47.83(287/6);47.67(286/6)
random-n300-d60-7.col;58;56;48.69(633/13);48.40(242/5);57;56;48.43(678/14);47.89(431/9);58;57;48.56(437/9);47.46(617/13);56;54;48.40(242/5);48.00(192/4)
random-n300-d60-8.col;60;55;48.33(435/9);48.50(291/6);58;56;48.00(672/14);47.77(621/13);59;53;48.60(243/5);47.75(382/8);51;51;47.60(238/5);47.00(470/10)
random-n300-d60-9.col;59;56;48.00(816/17);48.83(293/6);57;55;50.00(200/4);48.83(293/6);57;54;48.67(292/6);47.56(428/9);53;53;47.60(476/10);47.67(286/6)
