Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n800-d20-1.col;45;43;34.96(839/24);34.90(698/20);43;42;35.00(630/18);35.00(385/11);44;43;34.86(488/14);34.92(454/13);40;40;34.88(279/8);35.00(210/6)
random-n800-d20-10.col;45;43;35.27(388/11);35.08(421/12);44;43;35.07(491/14);34.73(521/15);42;42;34.91(384/11);35.00(315/9);40;40;35.50(142/4);34.62(277/8)
random-n800-d20-2.col;46;43;35.73(393/11);35.08(421/12);43;42;34.95(664/19);34.90(349/10);44;42;36.00(216/6);35.00(420/12);39;39;34.88(279/8);34.15(444/13)
random-n800-d20-3.col;45;44;35.73(393/11);34.89(663/19);44;43;35.43(248/7);35.00(420/12);46;44;35.00(420/12);35.62(285/8);38;38;34.75(278/8);35.00(175/5)
random-n800-d20-4.col;46;43;35.23(458/13);35.25(423/12);42;42;35.62(285/8);35.00(385/11);44;43;34.92(419/12);34.75(417/12);39;39;34.78(313/9);34.50(414/12)
random-n800-d20-5.col;46;44;36.00(252/7);35.50(284/8);43;42;36.20(181/5);35.80(179/5);45;44;34.92(454/13);35.71(250/7);39;39;35.00(245/7);34.71(243/7)
random-n800-d20-6.col;46;42;35.27(529/15);35.00(595/17);44;42;35.71(250/7);35.00(350/10);44;42;34.88(558/16);35.00(350/10);39;39;34.88(279/8);34.38(447/13)
random-n800-d20-7.col;47;44;35.67(321/9);34.91(803/23);42;42;35.10(351/10);35.00(315/9);43;43;36.50(146/4);34.86(488/14);39;39;34.62(277/8);35.00(175/5)
random-n800-d20-8.col;45;44;35.56(320/9);35.00(525/15);43;42;35.71(250/7);35.00(420/12);43;42;35.00(420/12);34.87(523/15);39;39;35.00(175/5);35.00(175/5)
random-n800-d20-9.col;46;43;35.42(425/12);34.94(594/17);44;43;35.50(284/8);35.00(350/10);44;42;35.25(282/8);35.00(315/9);39;39;34.78(313/9);34.60(346/10)
