Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n100-d20-a-n100-d20-1.col;11;10;8.00(48/6);7.78(70/9);11;9;7.80(39/5);8.00(40/5);9;9;9.00(9/1);8.50(17/2);8;8;8.00(8/1);8.00(8/1)
random-n100-d20-b-n100-d20-1.col;11;10;8.00(40/5);8.00(56/7);9;9;8.50(17/2);7.71(54/7);10;9;7.62(61/8);8.00(32/4);8;8;8.00(8/1);8.00(8/1)
random-n100-d20-c-n100-d20-1.col;11;10;7.88(63/8);8.00(48/6);9;9;7.80(39/5);7.83(47/6);10;10;8.33(25/3);7.86(55/7);8;8;8.00(8/1);8.00(8/1)
random-n100-d20-d-n100-d20-1.col;10;10;7.75(62/8);7.88(63/8);9;9;8.00(40/5);8.00(16/2);10;8;8.00(24/3);8.00(8/1);8;8;8.00(8/1);7.33(22/3)
random-n100-d20-e-n100-d20-1.col;10;9;8.67(26/3);7.80(39/5);10;10;7.57(53/7);8.00(32/4);10;9;8.00(32/4);8.00(24/3);9;9;7.38(59/8);8.00(16/2)
random-n100-d20-f-n100-d20-1.col;11;10;8.00(56/7);7.86(55/7);10;9;8.00(32/4);8.00(16/2);10;9;8.00(24/3);8.50(17/2);9;9;7.67(23/3);7.67(23/3)
random-n100-d20-g-n100-d20-1.col;11;10;8.33(25/3);8.00(56/7);9;9;8.00(24/3);8.00(40/5);10;9;8.50(17/2);9.00(9/1);8;8;8.00(8/1);8.00(8/1)
random-n100-d20-h-n100-d20-1.col;11;10;8.00(40/5);7.83(47/6);9;9;8.00(32/4);8.00(32/4);10;9;8.00(32/4);9.00(9/1);9;9;8.00(16/2);7.43(52/7)
random-n100-d20-i-n100-d20-1.col;10;10;7.88(63/8);8.00(48/6);9;9;8.00(40/5);8.00(40/5);10;9;7.67(46/6);8.00(40/5);8;8;8.00(8/1);8.00(8/1)
