Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n200-d60-1.col;44;40;34.80(348/10);34.82(383/11);41;39;35.50(142/4);36.00(108/3);43;39;35.40(177/5);34.75(139/4);39;38;34.60(173/5);34.17(205/6)
random-n200-d60-10.col;41;40;35.12(281/8);35.50(142/4);41;40;35.80(179/5);35.00(210/6);42;38;35.40(177/5);34.70(347/10);39;39;34.80(174/5);35.00(105/3)
random-n200-d60-2.col;45;39;35.50(213/6);34.75(278/8);40;39;34.78(313/9);34.83(209/6);41;40;35.00(210/6);34.60(173/5);39;39;34.86(244/7);34.75(139/4)
random-n200-d60-3.col;44;41;35.21(493/14);35.20(176/5);41;39;36.00(108/3);34.40(344/10);41;39;37.00(74/2);35.00(175/5);38;38;35.00(140/4);35.00(70/2)
random-n200-d60-4.col;44;40;36.50(146/4);35.67(107/3);40;38;36.00(108/3);34.00(408/12);40;39;34.27(377/11);34.08(443/13);39;38;35.00(105/3);33.88(271/8)
random-n200-d60-5.col;41;40;35.00(315/9);34.00(510/15);42;40;35.75(143/4);35.00(175/5);43;40;36.33(109/3);34.18(376/11);39;38;34.27(377/11);34.40(172/5)
random-n200-d60-6.col;45;40;35.00(385/11);35.40(177/5);40;38;34.80(348/10);34.86(244/7);44;40;34.78(313/9);35.25(141/4);38;38;34.40(172/5);35.00(70/2)
random-n200-d60-7.col;44;41;36.20(181/5);34.82(383/11);43;40;35.33(318/9);34.60(346/10);42;40;35.50(213/6);34.33(206/6);38;38;35.67(107/3);34.67(208/6)
random-n200-d60-8.col;43;40;35.29(247/7);34.62(277/8);40;39;35.00(280/8);34.71(243/7);42;39;35.25(141/4);34.60(173/5);37;36;34.25(137/4);34.17(205/6)
random-n200-d60-9.col;43;39;34.70(347/10);34.67(208/6);42;40;34.80(348/10);35.00(140/4);41;39;35.80(179/5);34.08(409/12);36;36;33.62(269/8);36.00(36/1)
