Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n400-d60-1.col;75;69;62.20(622/10);61.00(488/8);71;70;62.17(373/6);61.50(369/6);73;70;60.75(729/12);60.78(547/9);68;68;60.54(787/13);60.33(543/9)
random-n400-d60-10.col;73;68;61.64(678/11);60.25(723/12);72;70;62.80(314/5);60.75(486/8);74;69;60.20(903/15);60.44(544/9);67;67;60.57(424/7);59.15(769/13)
random-n400-d60-2.col;74;69;62.75(502/8);62.00(310/5);71;68;61.86(433/7);60.67(546/9);72;70;61.67(370/6);61.00(427/7);69;69;60.50(726/12);60.57(424/7)
random-n400-d60-3.col;77;71;61.89(557/9);61.38(491/8);70;69;60.93(853/14);61.75(247/4);73;69;61.22(551/9);59.74(1135/19);68;68;60.62(485/8);60.67(364/6)
random-n400-d60-4.col;75;71;61.78(556/9);60.92(731/12);71;70;61.09(672/11);62.25(249/4);73;70;63.67(191/3);60.64(667/11);66;66;60.71(425/7);59.42(713/12)
random-n400-d60-5.col;75;70;61.70(617/10);61.22(551/9);72;70;61.12(978/16);60.67(728/12);73;69;62.60(313/5);60.67(546/9);67;67;60.23(783/13);60.00(660/11)
random-n400-d60-6.col;73;69;61.88(495/8);60.54(787/13);70;69;62.00(496/8);61.57(431/7);72;69;62.40(312/5);60.27(663/11);70;69;60.58(727/12);61.25(245/4)
random-n400-d60-7.col;74;69;62.25(498/8);60.82(669/11);72;69;61.38(491/8);60.00(840/14);73;70;60.73(668/11);61.40(307/5);66;65;61.00(366/6);59.75(478/8)
random-n400-d60-8.col;73;69;60.61(1091/18);61.80(309/5);71;70;61.55(677/11);60.33(724/12);72;69;61.55(677/11);60.86(426/7);67;67;60.86(426/7);60.67(364/6)
random-n400-d60-9.col;75;69;62.00(496/8);61.50(246/4);75;70;62.00(434/7);60.20(903/15);72;68;61.80(309/5);61.00(305/5);67;67;60.67(546/9);59.67(716/12)
