Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n1000-d60-1.col;157;150;134.00(670/5);132.33(794/6);156;149;131.28(2363/18);130.83(1570/12);153;150;132.33(1191/9);130.89(1178/9);142;142;134.00(402/3);129.73(1427/11)
random-n1000-d60-10.col;155;149;134.17(805/6);131.00(1834/14);153;150;132.18(1454/11);130.38(1695/13);153;149;130.70(2614/20);130.45(1435/11);146;146;133.75(535/4);129.20(1938/15)
random-n1000-d60-2.col;155;151;132.75(1593/12);132.86(930/7);154;149;133.00(1330/10);130.90(1309/10);155;150;131.00(2358/18);130.69(1699/13);146;144;131.56(2105/16);129.73(1427/11)
random-n1000-d60-3.col;152;150;132.43(1854/14);131.15(1705/13);153;148;132.45(1457/11);131.00(1179/9);153;150;132.60(1326/10);131.00(1179/9);143;143;131.25(1050/8);129.67(1556/12)
random-n1000-d60-4.col;157;149;132.29(1852/14);130.87(1963/15);152;149;131.62(2106/16);130.82(2224/17);155;150;130.73(1961/15);130.29(1824/14);145;145;131.89(1187/9);129.93(1949/15)
random-n1000-d60-5.col;157;148;133.88(1071/8);131.40(1314/10);151;147;133.33(1200/9);134.00(536/4);155;151;132.78(1195/9);129.92(3248/25);147;147;130.93(1833/14);131.60(658/5)
random-n1000-d60-6.col;156;149;132.38(1721/13);131.89(1187/9);154;149;131.71(1844/14);130.33(1564/12);156;149;131.83(1582/12);130.36(1825/14);145;145;131.62(1053/8);131.00(786/6)
random-n1000-d60-7.col;155;149;133.44(1201/9);131.08(1573/12);154;148;132.00(2112/16);130.83(1570/12);155;150;130.80(1962/15);130.54(1697/13);146;146;132.83(797/6);129.83(1558/12)
random-n1000-d60-8.col;157;151;134.00(938/7);130.40(1956/15);156;151;131.50(2630/20);130.83(1570/12);154;148;134.80(674/5);130.29(1824/14);144;144;132.00(924/7);129.14(2841/22)
random-n1000-d60-9.col;155;151;133.50(1068/8);132.67(796/6);154;150;132.54(1723/13);129.95(2469/19);153;148;132.62(1061/8);130.14(1822/14);144;144;132.17(793/6);129.70(1297/10)
