Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n700-d60-1.col;116;111;98.25(786/8);96.56(1545/16);113;110;98.44(886/9);97.40(487/5);114;110;97.29(1362/14);96.56(869/9);106;106;96.70(967/10);96.67(870/9)
random-n700-d60-10.col;116;111;97.20(1458/15);97.11(874/9);113;110;97.77(1271/13);97.14(680/7);115;110;97.80(978/10);96.38(1253/13);106;106;96.83(1162/12);99.00(198/2)
random-n700-d60-2.col;117;113;97.92(1273/13);98.50(591/6);112;110;98.56(887/9);96.80(1452/15);115;111;99.00(594/6);95.88(1534/16);108;108;96.89(872/9);95.07(1426/15)
random-n700-d60-3.col;117;112;98.00(980/10);97.75(782/8);111;109;97.64(1367/14);97.71(684/7);115;110;98.60(493/5);97.83(587/6);109;109;97.14(680/7);96.57(676/7)
random-n700-d60-4.col;117;113;98.27(1081/11);96.76(1645/17);113;111;98.12(785/8);96.83(1162/12);116;112;96.88(1550/16);97.62(781/8);108;108;96.50(1158/12);95.54(1242/13)
random-n700-d60-5.col;114;110;99.33(596/6);97.00(1261/13);113;110;98.40(984/10);96.33(867/9);116;109;99.60(498/5);96.70(967/10);108;108;96.41(1639/17);97.00(776/8)
random-n700-d60-6.col;114;110;100.50(402/4);96.31(1541/16);113;110;97.78(880/9);97.00(776/8);116;111;98.11(883/9);96.62(1256/13);106;106;96.67(870/9);96.18(1058/11)
random-n700-d60-7.col;118;111;100.40(502/5);96.70(967/10);113;112;97.90(979/10);96.82(1065/11);115;110;97.83(587/6);96.50(965/10);108;108;100.00(300/3);97.25(389/4)
random-n700-d60-8.col;113;111;98.11(883/9);97.71(684/7);114;111;97.18(1652/17);96.73(1064/11);116;111;97.90(979/10);95.93(1343/14);107;107;97.10(971/10);95.92(1151/12)
random-n700-d60-9.col;117;113;98.50(788/8);96.75(1161/12);111;109;98.86(692/7);97.11(874/9);113;110;97.38(779/8);97.00(873/9);107;107;96.73(1064/11);96.56(869/9)
